Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
57,2.0,0.0,0.0,1173.0,17.0,83.0,3159.0,0.0,58.405,0.0,0.0,486.35662364959717,,,,,,,,,,,,,,,,,,,,,24.648295562937694,19.655412051970217,56.4156070753515,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1228.0,18.0,55.0,3214.0,0.0,31.70300000000001,0.0,0.0,492.8379912376404,,,,,,,,,,,,,,,,,,,,,15.747716630012006,11.446497138058472,30.867743328678017,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1287.0,19.0,59.0,3273.0,0.0,27.305000000000028,0.0,0.0,500.06147289276123,,,,,,,,,,,,,,,,,,,,,10.330613306995692,9.696710566182015,26.72221603091817,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1305.0,20.0,18.0,3291.0,0.0,1.2059999999999993,0.0,0.0,502.3181836605072,,,,,,,,,,,,,,,,,,,,,0.43687730678643305,0.4152097198692584,1.199335544021866,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,52.0,1.0,52.0,3343.0,0.0,29.504000000000026,0.0,0.0,559.5269205570221,,,,,,,,,,,,,,,,,,,,,9.134496302790069,9.34828317558283,29.05806425651143,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,105.0,2.0,53.0,3396.0,0.0,40.604,0.0,0.0,566.4390058517456,,,,,,,,,,,,,,,,,,,,,16.000533999290088,13.056583071514742,39.79576746550313,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,128.0,3.0,23.0,3419.0,0.0,4.703999999999999,0.0,0.0,569.4164066314697,,,,,,,,,,,,,,,,,,,,,1.3108362037032624,1.3999194687664502,4.678529296611436,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,161.0,4.0,33.0,3452.0,0.0,11.704999999999993,0.0,0.0,573.521858215332,,,,,,,,,,,,,,,,,,,,,3.693304297921572,4.0213687329508225,11.59471567384243,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,188.0,5.0,27.0,3479.0,0.0,10.904999999999994,0.0,0.0,576.99862241745,,,,,,,,,,,,,,,,,,,,,2.7953378990084414,3.326726273374005,10.840366242969747,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,226.0,6.0,38.0,3517.0,0.0,16.40600000000001,0.0,0.0,581.4694378376007,,,,,,,,,,,,,,,,,,,,,5.78058492773327,5.815678682469745,16.2025403130592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,353.0,7.0,127.0,3644.0,0.0,62.413000000000025,0.0,0.0,596.0472285747528,,,,,,,,,,,,,,,,,,,,,20.47936185537352,16.595449396969304,59.871993037405,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,569.0,8.0,216.0,3860.0,0.0,118.40399999999988,0.0,0.0,620.6728427410126,,,,,,,,,,,,,,,,,,,,,54.28455104720975,35.360093680313405,106.78532229609893,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,634.0,9.0,65.0,3925.0,0.0,34.32099999999996,0.0,0.0,629.0902428627014,,,,,,,,,,,,,,,,,,,,,9.39089330756176,11.087978723154329,33.744336271279764,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,716.0,10.0,82.0,4007.0,0.0,66.80499999999998,0.0,0.0,638.900529384613,,,,,,,,,,,,,,,,,,,,,27.136163864547576,21.052004576027365,64.64447904214924,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,838.0,11.0,122.0,4129.0,0.0,98.20499999999998,0.0,0.0,653.2970547676086,,,,,,,,,,,,,,,,,,,,,39.90256878204035,29.323291916102413,93.43031692551659,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,872.0,12.0,34.0,4163.0,0.0,14.205999999999992,0.0,0.0,657.4800462722778,,,,,,,,,,,,,,,,,,,,,3.5873445580907593,4.3269533987140445,14.098128413438355,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
